,Unnamed: 0,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp
196,196,2,Morning Run,9683.3,2434,2502,41.8,Run,Run,,7608973732,2022-08-09T13:12:29Z,2022-08-09T07:12:29Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,5,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849747812375426, -113.9881675131619]","[46.84984277933836, -113.98831645958126]",3.978,5.082,79.8,True,159.2,181.0,False,True,998.9,977.9,8117015309.0,8117015309.0,garmin_push_9368929796,False,0,0,False,51.0,56603883,1,a7608973732,_j}|GzavvTEQICQCiBLc@H_BCmAFs@Cq@DUEK?iAHWGu@?ECa@Be@A]Ea@@w@E[@w@GY?WGK?YEo@?c@Dk@A{ANGC_@BGCm@DGCS?GAa@?SAUMIMAKGoFYcACeAEc@Ae@D{@AkA?sBQk@Q_@W]_@a@a@WuB{@CEc@ImAi@wBk@w@W_@I}Ag@mA?SD_@TSVSJy@B]EaAi@CYSw@Iy@CGKIEEAWAkAEe@u@iDk@kBEYEeCHaEBYAsABi@R{A`AoEN_AXmAx@{ETu@b@qAj@kCNc@@SRc@DUJ]F[JgAJqBPaB@{@HoB?{AB}BCs@SEAEFY@}DCeAGqA@sBEkCBi@KmFMoDMwIO{F?}BGmF?_FSsAc@mBi@eEGs@g@}BYsBMcBc@eEG{@M{@MgD?kAIiB@cBAeCOsBC}@CU@[IwA]iC}@}DGg@Wi@Qk@[c@[m@FDZx@^vANTDVd@xAL`Ad@vBLz@J|@^nFFnFFrAAhBJjCj@nE?VRpBj@zCBl@Fd@RrBPlAFh@ZdBR|ABl@Jl@Dl@BhBALHxD?pAHhDBzBDzAAXDdA?`AHrB@|BB\FpB@nEFhBDjGBdBDt@NjLGbBYfEKz@GXMt@AlAGt@MnAMf@Mz@IXMlAQr@c@pAAHg@bBaCdJu@tBSx@AR?pBDx@AhATxBHn@XbAZhBXbA^dB?XB`AFNNLFPBTHZBt@@HJLh@\t@B\ETQZo@ROLCV?z@JLHN@f@NnAVtDtArCrAb@Pb@V^^V^p@zAH^H~B?nGBRHd@V`A@p@CzADTx@GXJxADfCCl@ETBt@@`B?x@Dn@Cb@JT@XF\@lAIbAA^D,2,,,,
197,197,2,Evening Run,8172.7,2602,2802,269.1,Run,Run,,7608971630,2022-08-09T00:30:31Z,2022-08-08T18:30:31Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,4,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849826350808144, -113.98834470659494]","[46.84971755370498, -113.98772888816893]",3.141,4.35,78.1,True,160.5,179.0,False,True,1245.2,980.6,8117012966.0,8117012966.0,garmin_push_9368927102,False,0,0,False,56.0,56603883,1,a7608971630,wi}|GbbvvTFKDAf@CzB?PEZ@`@HN@R?l@Ih@Av@LVBXAJAx@Uf@?HEx@Kx@CZGx@AVB~AEf@Ir@?JLb@FjCOVB`@CN@d@EzAAn@B`C@XBlBAdBmAPSh@a@Z[PKX[fAw@RUR]j@m@hA{@nAs@|@s@n@a@r@o@d@_@bB_BzBsAZUz@_AvAyAr@aAp@mARSR_@h@sAHa@ImAIwDC[KuBCyAEUAg@Iq@EOi@aAmAeB}@uA{@aB_BqC[_@i@SKIMSAUBSHO|@s@j@YXQT_@BOAYg@qAk@eCG{AIm@?QDSHO`@c@LSfAsCTu@BWGoBAeB@OFKFCd@OZUT_@b@_APw@@c@UgD@cADs@b@wCJyAAQEUGKg@c@_@K[?UCOEOGMSEa@JYr@w@t@_AN[Ri@Jk@t@{Ed@}BLmA?mADWDN?NQlCGl@iBnJQf@O\}@fAe@b@ILCNBTLLrANh@X`@`@N`@B`@CjAI\]rCEz@BnAPnCA^S~@k@dAa@d@g@VQLMT@`@Ht@Bp@CnACROb@yAhDg@r@GN?RXfCLj@`AxCDZCTMZQRQNw@Xu@d@SVENBLLNl@PZRRTp@dA~@jAjB~Cx@dAj@|@NVL^RlAB`@@vBFtBNzC?z@C^I\i@|@QPYPy@~@e@\e@f@a@RQNi@Pk@L{@Z_@Ps@Rm@X_Cl@iAd@a@Ho@T{@Na@NM@MEI@EHDL~@ZPLXDDB@FEPEDm@\UBUAYIGB@Jn@f@RH^HXCv@LhABBD@NgA~@eCbB}@r@aAbA}@l@}@r@wBtBe@^QBkAD{@?iADw@?k@Ei@@]CkDLYC_A@g@EQ@aAGk@?aCNcB@q@Dg@Lu@Hg@@}ACy@BaAEo@Bq@Aa@EmADQA[DGFCP,2,,,,
198,198,2,Afternoon Run,11276.0,3881,4188,406.5,Run,Run,,7594456679,2022-08-06T20:16:05Z,2022-08-06T14:16:05Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,8,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84757891111076, -113.9954826515168]","[46.84989835135639, -113.98823347873986]",2.905,7.616,78.2,True,161.2,186.0,False,True,1313.7,978.9,8100753035.0,8100753035.0,garmin_push_9351589572,False,0,0,False,84.0,56603883,1,a7594456679,i|||GxvwvTAUFGhAG~E\z@`@JNL`@j@Pz@@`Ak@j@ISEvBIPHj@f@pBZ\GTPxADj@MHGZc@\OLUR?d@a@j@wB^eAPUB[LOVqAVKJOx@gCf@aAB@`AaBr@s@r@e@hASTYfAg@dAw@BH`@Gt@o@Ze@p@[zBqBh@U`EoCf@WVDf@i@J@p@UJOfAo@h@Sj@e@`Ac@\i@`@_@XC^i@j@mAbCqIdAcDj@}@bBoEr@kCdA_DVqAn@}BN{@Ia@Lo@FyA`@mCJYJMTEZ^z@\@FFWDA@ODCDRHN^HKPUD_@x@Id@Cv@CATe@XQB@CV\PEXFLLp@Cd@Hf@@f@QrAEFFPDEAKFERd@Df@Qj@@VG^TDBHC@d@MFMACDCECFCBOd@c@LY\MVWZBl@UTWL[DE@HQjAFB^Qv@s@P_@~AmA\e@?c@ZqA`Ay@\q@?kBCq@OaAAk@BQHG~@nAXAA}AVeBF_AH[JIRDd@x@X\LD|@Ql@CRL\Dz@DVFREAPS\b@I^Jz@GBJeApAxA^TAVHHTv@b@x@ZSXa@X[h@JD@He@vADRGj@@LDF`@?a@hAOx@q@tA@TDN?b@I`@H\IjB@`@J\C|BSlAy@hAI?I[Io@i@A{G`@g@Ta@^OBAG^cAZ{AMDU^u@t@OHEG^i@Ha@Te@D[a@t@y@b@yCNGKDMRQhAk@p@u@?m@FkAHaAIHKd@s@jASDCIH{@E]F]Cs@TeB`@cA{@x@_@t@[Vw@`AcAf@CC@Md@cAb@uANuAVwAw@pAa@X_@h@]X}@bAG?Dq@I[O\u@|@QFSE[ZYJm@dA_A|@s@BAEPW?cBCGG?SZKFEQFi@Ja@B]?aAIc@Cg@H_AOJAMHe@a@t@GVE?OaCFg@RM?KWUKSBd@ECKFg@a@Q?GL}@`Fg@xAi@`CWv@Ot@cClIWbBg@vB_@x@iA~D{@dC_AdEWf@e@j@s@d@_CfAOIQgA?kBe@u@a@sAKOCOGDo@EiAa@eBY_Cw@k@Gu@L_B`Aa@b@c@P_@B_FHqEMiCJ_EA{@IiCDsAGgERa@IeAD}AKaBAm@HmE@sAZ}@FwG?s@MmB?WFGJ,2,,,,
199,199,2,Evening Run,6448.0,1754,1777,38.6,Run,Run,,7594454782,2022-08-06T01:04:33Z,2022-08-05T19:04:33Z,(GMT-07:00) America/Denver,-21600.0,,,United States,1,3,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.829420775175095, -113.97927121259272]","[46.84986348263919, -113.98827555589378]",3.676,5.372,79.2,True,157.9,179.0,False,True,1074.3,980.6,8100750924.0,8100750924.0,garmin_push_9351587480,False,0,0,False,33.0,56603883,1,a7594454782,{jy|GnqtvTJk@FOPQHALND?IQGAKBEBCFQv@k@dBSpA[lA{@dE[n@a@hAKl@_AdDMl@kBhH[x@ORu@bCQ^GPAPe@|AMv@Y`AKXU^m@r@i@`@wBjAM@KEGOQw@?ODuAAE[a@YWIWKOI_@EGGW?@IBe@AcA]_@KeAIu@Qg@Om@WOCc@?o@N[LkBlAWHUBsBFc@Dq@Cc@B]Ce@@w@EiA@u@E{BHm@Aa@Eg@BiACcBBcAGeA@c@Ei@AS?s@HOAg@@o@Ao@DWCe@DiCMeBLQAgCBa@Lq@J_AFcACsCByAC]GU?e@De@AO@EBKJ,2,,,,
0,0,2,Afternoon Run,16095.5,4017,4237,121.6,Run,Run,,4012106119,2020-08-31T21:39:17Z,2020-08-31T15:39:17Z,(GMT-07:00) America/Denver,-21600.0,,,United States,9,1,0,2,0,False,False,False,False,everyone,False,g6848836,"[46.863746, -113.984159]","[46.863795, -113.984146]",4.007,5.9,79.8,True,153.3,178.0,False,True,1072.9,971.2,4294583113.0,4294583113.0,garmin_push_5487908674,False,7,0,False,55.0,56603883,1,a4012106119,ka`}G~ouvT[DGUo@J]LyABmGOYMMMkBs@sDcAuAg@_@?gAk@eB_@oAm@WQ_@o@u@q@u@DKGKY@y@AYWm@}@I_@MKBo@rAWpAeAxBq@jAu@fAUJk@d@OBmAkA}@e@m@o@m@qAs@yBWi@wB_A_AuA{@_C_A{FMc@c@i@]Yu@WoBW}@?s@WWSi@q@wA}CSQoAe@[[Uu@IyA@a@Ci@CMECq@b@]FqEIYDIHCNMxBERQLq@R_FSwAQeEDcBEuDAsBD}EIaHJ_GGe@DeBEwGDyAIQICOEaAE{EGi@GKMEcEMg@KiDYwHA_HGu@ScAGmBBcBh@wCFsGeA_B]yAc@KDCHBd@Af@@d@C|@Db@CzAFjA?nAK`@Y?[OcCeCaAoAo@o@eEsE{@y@mBsAa@UaA]uEa@c@Qm@a@QQe@s@g@aA_A}Aq@o@YSWY[y@Ku@AcANoBA{@G]M_Ba@eAIa@Gs@Kc@Au@n@{AHKF@T^RL~@ThALv@F\Rb@p@b@^n@LT?rBORM?WLa@NQXIjA?~An@h@FLKFO^qBLYRU^EdCDlIGvFBz@Q~BmAp@OlM?hDFjGIzPNNDJNB\NpKCvDDzCCpEBPFF`AIZNl@M\WJBHLJD^IhA@^Ur@Kp@NRTd@PR@x@i@`@i@|@[XS`@Ib@m@XQ\KlBKvJCvAFl@Ed@JL`@Jf@AnBDJJBpGJpAJtHM|BB~AEl@F~E?zDNlAf@PNtAxA^h@x@vAd@p@zAvCjAjBZn@|@`A|@nAt@lAj@jAdBtCtBtChAhBNLb@p@Vt@d@r@f@`AtBnDlAhBVj@Jh@AXK`@?LNHh@Bj@^FRDb@?z@DNRDb@Cf@LxAtAhBhAb@PP?nAl@l@H`CdAjDt@\LPN?RK`A_@zAE|A?vDChABlDElC@h@CbAR~HClIFxCMxFYvCe@tC{@bCg@~AYp@wA|GKv@_BpFuAnBcAjA]n@mArAq@rBYd@O|@_@dAFN?ROTGd@e@|GIXYXMVG~AAaABc@L[X]Lg@^eGHm@P_@f@k@BMMk@@a@xAiDnAqAv@kApAyAr@oAbA}C`@yBpAoFbAwCLo@t@mCp@wEPoCFoFMyE@u@CsAFaBKiBI{CFwFGuCFgDCeEDaAl@oCHONEl@P|@FZE`BFpANxCG,2,,,,
1,1,2,Afternoon Run,16101.2,4605,4990,79.1,Run,Run,,4012114626,2020-08-29T20:27:50Z,2020-08-29T14:27:50Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,0,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849807, -113.988269]","[46.849747, -113.988096]",3.496,5.5,79.1,True,165.2,181.0,False,True,991.8,976.0,4294592247.0,4294592247.0,garmin_push_5487916773,False,0,0,False,118.0,56603883,1,a4012114626,yy}|GfavvTaAAYUU?cCTqHEgCHyCGq@Uk@AOmDBg@?gDI}ACmAc@yAAm@I_@{AeCWUcCoAaEgAsAi@wA]u@IgAAkAfAy@F_@E{@k@W_BGs@W[IeBeAaGU_AYcCCuAFm@?cAF_CF[d@yAx@qBx@wCh@_Cl@yB`@oBZkAVk@\eAF{@\yBJyAT}AL{AEcBFsASeE_@mEKaIY_J?yHG}C@y@OiKUuDDoBGeBBg@Co@]aDSiCSoAa@_BQuBAg@g@yCS_CMm@]wCQ_CC}@OiAW{JOwCJE?g@W}CSsAo@kCm@yBq@gBSeAeCcF}@}A}@sBkAaDcAoDw@sB]gA]w@kAaCqCuDkAwB{BqDw@gAsBgDgEkLMMg@OOMg@qAAQKYOWQAIPLhACXQlASVKAa@i@a@SkAMiAe@uAI{@OwA?cBMe@MwAEwH\}DfBwC~As@DcARo@\KEKS_@sAGOICs@LiBv@SAYMm@uA}@{DiAsDCSHw@GWQWu@o@o@s@wA_Cw@aAo@sA]cA_@_C[gFCeCJsCJw@B`@IzB@nAFtCVbEh@tCtAnCj@h@`A~AfAtAp@j@NXDXMv@@LXp@XhA\`A^vBl@`BZf@^RfCcARCJDHNb@jBRHTWf@OvAKn@i@`BgA~DoBzG_@dBD~@XlDNhARnAFzAl@v@Hj@Pr@l@LIH_@Ag@DcAMw@L[HCPFn@~@p@~Ap@XRZ@I@Vj@`A\x@\lAlAjDv@vA?PBFBCJh@fApAhA`BfB|ChArA|@pA\r@Z^AJVh@J`@rA~C^j@Nt@~@pBD^Tl@Dd@CPBRR~@HP\Td@f@dAjBx@|Ap@fBt@tAz@tBh@`B^t@RlACTLd@AXV`B?f@TtALnBBtCE`ANfD?|AN|AH|AJt@NvBNx@L^NlADv@Hj@?RHpATbBLh@RnCVx@L`DJjA`@rC?|ANhA?^IhBFxEAPEH@`ADz@@pAL~ACjBBpBAz@FpAJxGNlDD`FD~@CRH`FD`A?rCIr@AbAUhCMp@S~BAn@q@lEw@nCMv@KTy@`Dm@rBUdA_BpF]~ACnB@f@Ap@Br@|A`GBb@p@`EDlBVp@ZpBx@b@nADVOf@s@HGdBBrJjCdCbAvA~@t@bAZt@H\KbE?rEPtADdAJZ@xADHz@BfATdFLnBI|LJjCIvCAh@FnCETBNR,2,,,,
2,2,2,Afternoon Run,13086.7,3501,3822,87.0,Run,Run,,4012112251,2020-08-28T21:59:29Z,2020-08-28T15:59:29Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,0,0,3,0,False,False,False,False,everyone,False,g6848836,"[46.851776, -113.889797]","[46.863937, -113.984115]",3.738,4.5,79.3,True,140.7,148.0,False,True,1075.3,976.1,4294589841.0,4294589841.0,garmin_push_5487914518,False,0,0,False,15.0,56603883,1,a4012112251,qv}|GfbcvTQ_@SO?IEECMIGAEMUgBmCiBaDi@gAm@_ASc@Qe@Ue@eBsEaAsBw@iBkCyF[c@]K_@@a@HsA\a@NaAj@sCvCmEtFo@n@_AnAm@r@gDpEiBpC}AlBu@dAkC|CwDpF}AjBwCbE_DxDeA`A]VkCtA_CtAgBtAaDfByCvA}@h@c@\m@n@q@`Ae@z@gAdCK`@M~@K`BE`B[rEE~AEb@IZCjAO`CIpD?z@EjA?n@GjAItCK~@KZ}@dAeA|Ao@x@{@pAu@pAaDjEeDjFm@z@e@j@mBzC_B~BgC`EcAzAq@t@oB~Ce@l@KRc@h@{@t@}@dA]No@b@w@zA_BxBYb@eBbCq@l@C@c@[gB{Bw@Q{@w@{D{A]FSRo@hAk@zAk@fBcBdE[jAQ`@g@|As@~A}@|B_AlDe@zEObCQx@EjAHx@ZnAZt@^nADdAHn@L^R\FNHz@n@vDRj@b@t@Rh@HlAHXr@nART`@NJCLMJAf@RZ\v@dAh@f@LPPLzAh@vB^L?HGPs@HgAA_CIcA@g@JSZYb@eAHGD?PTHFX?LBPNJTDXGl@FZr@rB\t@Tt@Hn@ZnAJ^Vl@RP^BhBy@f@MJFJV^zAHLFBDAXYRGj@O~@Ir@m@lAq@nBu@~Ay@~DYhBCnABnBN`ALx@@|AT|@@bA\NJd@L^Db@NJHVd@LFDAJWJeAFe@?[Ga@@SFODCR@NT~@fCHJNJ`@HRVf@xATf@Zz@^~@n@jB`@dA^n@l@v@RR\p@h@x@VVpAvBf@r@`@t@zA|BN^r@jAJV\f@f@dA^n@FLP|@d@~@HZl@tAv@dCXhAXx@p@pAbAjCz@|Al@|@`@dA`@v@L^`@v@Pp@N^Kx@Ph@TdAThBJlAJvBLfBDzB?tDRvG|@|In@vD\tCHjAj@pDVnCDx@@jAJbA?h@Df@FbCDzFDp@HjGJjB?vDDdAJvGJjECdBDrELvEBnGEp@GvB@f@ShBAb@SbBGp@Kl@KbA]pAQlAc@`Ba@dB_@jA_AvD{AxEiBlHwAzEs@hC{@pCWjAk@hBi@rAa@fBOb@_@p@e@j@INQp@{@jE[nAKl@APDJPHpAFbACNBd@Ct@DxBEx@I,2,,,,
3,3,2,Maiden Voyage for the Alphaflys,1674.0,396,400,0.0,Run,Run,0.0,3979035207,2020-08-28T20:49:44Z,2020-08-28T14:49:44Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,2,0,1,0,False,False,False,False,everyone,False,g6848838,"[46.849876, -113.988148]","[46.849805, -113.98824]",4.227,6.6,80.6,True,126.4,132.0,False,True,981.7,979.8,4259283877.0,4259283877.0,garmin_push_5454223197,False,0,1,False,1.0,56603883,1,a3979035207,ez}|GnavvTi@Bk@@_BMgCBaFCcBBiA?GAi@@e@GM@AF@@fAExACf@At@D|@GfFC~AJhA?r@ChBAf@BdD@n@Fx@GJEb@?TMH?X?NDLHBJ,2,,,,
4,4,2,Morning Run,10570.6,3420,3564,109.2,Run,Run,,3974379875,2020-08-27T13:22:56Z,2020-08-27T07:22:56Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,4,0,7,0,False,False,False,False,everyone,False,g6759939,"[46.851189, -113.985117]","[46.863955, -113.984095]",3.091,7.2,79.2,True,147.6,169.0,False,True,989.3,976.6,4254314825.0,4254314825.0,garmin_push_5449363417,False,0,0,False,27.0,56603883,1,a3974379875,{r}|G~uuvTJQd@_@XGv@?fATDn@?bAEh@?XADIFaAJkBBMUEeASq@DUJQr@k@NGb@?h@Pf@FNPb@fA?RETAn@GHcDXm@AKYSiBB[FQXW`@Sf@E|AVLNTj@HhBALEFiEHICKYU}A@YJ[r@i@XGZAjATf@h@Rf@?XEp@Mb@kELIMGy@Sy@@YT[n@a@PGjBL\PPRDZBlAGh@IHyAHkBCIW?YMqAD[FI~@k@n@AjAXHJPf@Hl@?v@ETMHuDJICGOCa@@g@Mm@@QJQj@a@VIX?hANXXRh@Dd@?n@CVIJmBJwA@IUCs@M{@B]LQd@Y\KtAD^JRVLn@?dAO^IBwARe@@u@GMUCo@Ig@?YDSNQn@]RCf@F`AVRJFLHZBRC|@IZKF_CLy@?KWCw@Ii@?QHYZWZSZEfAJl@VJND\?lAIZeCVED?RJ^DbA`@d@d@LfAFh@CJFFTBd@CrBGxAWGOBBHCDF@AB?GKCDOABKG?SCCJx@DBDEECEFAMDKZD@CIqDBmBG}AIGEQ?w@OCc@JqDHGOEcAIa@@]FSf@_@d@QZ?~@NPHP\Lf@D\@|@EJE@iALeBHYCMWGcA@y@DUj@e@PI\ApATTTNn@JzACTkELKIE[GgBDUl@k@RKR?rALNFLN@NL`@HrA?XGFcCJaACGMAm@I_AB_@DIf@a@^MnBTLJHVF\B|ACL[HiADm@Hu@CKO?k@I{@?c@BMXUb@WTE~@Hd@RJTBV[xAILMFILaAPy@?MQ?c@G{A@KHS`@]TI^?dANVLLNHRDz@Af@I^GFgBLsA?IMCSGyBJUj@_@`@KhBHJLE\EFCECTMNk@\qAJ]CSWASBSDMNOn@]VGrBNsFnAkEXgAEcA@cBOyA@qBIoCBwADgCGcADaD?]AKGI]@c@g@@Ya@YUe@FCKCq@EKI?q@c@k@AIIa@m@WEg@AMBEHAn@AFE@_AI{BRwAIw@PqEHk@HwCKMICQBSLO[LyAD{ANqFI}@Ia@SIYFe@pAyDf@iBRgALWh@s@h@eAVo@T{@Vo@`A}D^eAJi@h@_BDYPe@r@iDVm@zBqH]hAc@jAw@hCMVOh@eBlGi@`Bg@lBMp@Yn@UdAaAnD[r@k@l@S`@}@nEe@hBM~@FPNJz@FzCCjAFdAK|@@,2,,,,
5,5,2,Morning Run,1944.6,604,637,4.2,Run,Run,,3974376318,2020-08-27T12:55:21Z,2020-08-27T06:55:21Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,2,0,5,0,False,False,False,False,everyone,False,g6759939,"[46.863579, -113.984206]","[46.850099, -113.985722]",3.22,4.1,78.5,True,142.3,171.0,False,True,984.0,979.7,4254311338.0,4254311338.0,garmin_push_5449360031,False,0,0,False,3.0,56603883,1,a3974376318,i``}GhpuvTBHTPH@DELCFFNAFCB@P@DAH@@DREL@BCJ@l@I\?RGXBHDVMH?l@J|@CjBHNG`AD^Gr@Bf@VJLLZNt@JjAHPFFH@n@Aj@@j@AFFDP?ZCHFDDLZ?j@VXCFDlA?NCFODo@J]LQRGlBLtD@PBlA?n@E|AAxCDlA?\@z@IhA?|@Fj@Gn@A~ADVJJRAhB@fBDVNRDBVCb@@`AFf@BZAJCP?PExA?NCBK@QCy@I[GEQ@[Ea@SS@EAQ]AUGS?AI?@AAB,2,,,,
6,6,2,Afternoon Run,16116.0,4536,4547,81.0,Run,Run,,3974370779,2020-08-26T20:23:52Z,2020-08-26T14:23:52Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,g6759939,"[46.849447, -113.986754]","[46.849759, -113.987718]",3.553,4.9,78.2,True,156.3,161.0,False,True,991.8,976.0,4254305157.0,4254305157.0,garmin_push_5449353562,False,0,0,False,80.0,56603883,1,a3974370779,_h}|Gf`vvT]DYEq@JoACi@JoEXoBOkBBaBQ{CFsBG{ENcCYqCEIqA@uACq@GoD@YH{@CiCKa@[]]aAo@sAa@[oBq@_Ak@eBm@}EgAq@WyAEk@RKVMLq@A_@Im@c@WEq@_@AmAI}A?y@oAwE}@mECwADe@Jg@@eAFk@Ay@Fm@vAuEx@cDjAcD`AgD\sAt@mD?a@Rq@L}@L_DNqA@_DAyAm@mNQeHK{F@eDMwC?cFIiDBoE[}HCyAOeD?e@q@sEKUCk@UuAKgAe@cDMkBoAoJIkC@_CSqC?cCMwEi@_Fg@yB]{@Kg@_A{BY_AMo@[{@qBmDg@oAqCuHe@eBw@qBQo@e@{@}BeFwAiBeB}C]_@qCcEkB}C}@{BcCmHU]q@U[w@_@mAOWOCIJANLn@?PQxAITKDy@o@_@Mw@EsAk@qBGs@K_BC}@Iy@UmAAkId@cAn@cBp@wCfBiAFq@Nk@`@Y]i@wASQsC|@[?a@]c@_AqCmJEQJeAGWgBwBsAwBu@u@Yg@q@iBk@sC_@gEEsB?sDBADP?lAHtCd@fEBjAVfALz@Ph@t@xAzCzD^l@ZX\h@B\Kz@@LvA`D`AtEh@`A`@L|Bu@d@CPNh@jBLHHA@KPSnASj@An@i@vA{@bEqB`DUzEA`ALz@?`@JzADz@R~AHpC~@lAx@TDRKBG?e@LiAOoAHUPARPfA`C`@^\Hb@z@rAvD`AfDx@xAZx@b@l@L\dBzBjCtE|BxCXn@b@r@h@lAz@~Ab@hA^l@Lf@\t@j@tBR\`@|Az@nBf@zARZn@~AdA~AJTPt@d@`Af@p@N^HVZ~BTj@X`C@`AHxAA`BD`BEbCHhECb@HdBR|AN|BZnATbB?n@Hx@b@vCZbDFtBLpAT`AJxAZzCHlD?bBPvKApAFfFCt@DxDD~BJxAA|AFbA@fCN`EGpGD`BEpB@f@K`AGbBOhAOdCYxC]nBU~@Q~Am@xB_@vBaBdGoArFQhFDx@P~@Tf@^nBJdAvAbECnBRRFP@jB`An@vAJNIVi@^W~AAtCbA|D|@jBt@nCvAb@f@d@t@Zt@@T[pB?p@GV?rAJlAB`AL`@Lt@JR@`AGbAFLfCZ~@?^J~ENp@GzG?bFMzC@xEFn@J,2,,,,
7,7,2,Morning Run,2400.9,633,638,0.0,Run,Run,,3974366037,2020-08-25T14:11:18Z,2020-08-25T08:11:18Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,2,0,1,0,False,False,False,False,everyone,False,g6759939,"[46.854303, -114.062188]","[46.856373, -114.064464]",3.793,4.5,81.9,True,166.3,180.0,False,True,962.0,958.0,4254300644.0,4254300644.0,garmin_push_5449348987,False,0,0,False,17.0,56603883,1,a3974366037,kf~|GtwdwTVg@HUHGPe@TSDC@EJSh@Y\k@NMz@Y\Cb@DLFHJNf@@TG|BFzAA~AHjB@n@Cx@Eh@AnAHnDE\Yt@CVFd@Vz@Df@GvAAxANtDOdCDvBIpA@PHv@?RGPOVIJMHUFO?c@EOWK]CGMCIDGVILEDUFeEJ{G?gAQUA_ARS?q@CkAH_BMSIKIKQ_AiCi@iDA]D]HOt@kAd@aATMp@Ml@s@PMLEN?JDj@^b@Nv@BfAIXUN_@Bm@KwAMy@C]JwCAQYoAKk@CgACQ@G,2,,,,
8,8,2,Morning Run,6449.9,1382,1382,10.1,Run,Run,,3974365513,2020-08-25T13:45:31Z,2020-08-25T07:45:31Z,(GMT-07:00) America/Denver,-21600.0,,,United States,2,2,0,5,0,False,False,False,False,everyone,False,g6759939,"[46.858442, -114.070143]","[46.854259, -114.061976]",4.667,5.8,83.5,True,178.8,192.0,False,True,962.0,958.0,4254300093.0,4254300093.0,garmin_push_5449348408,False,0,0,False,57.0,56603883,1,a3974365513,g`_}GlifwTCOIEIc@?]CDASEIMcAK]DM?KDG@Kr@uA`@cAJMp@ILGp@}@JMPCFAPFj@XVJd@HV@h@Cl@GZWFOBSA_@Kw@SaAGm@DeA?sAMu@Mi@QiA@w@Fa@Ty@f@eAb@s@RSNGn@Kf@Qp@e@`@a@V]jAsBz@qALWd@q@n@Y\g@XWf@QVAl@DXHHNHRFf@IjCDrA?nBH~ACz@KhBAp@NpDAXEV[n@ERF`@Z|@Fb@GhBAx@DrBHnAMzB@dAFdAKfA@THt@I`@O\MNOJYF]EOGOQSi@GGGDKZMNWHW@wC@uAByAHcBCkBWU@g@L_@Bo@Am@B_A@y@EYIUU_AwBYeAGo@UkAAW@YN]n@gAf@iALKn@ILEV_@XYVKZ?XJTNNDh@Fp@@^?`@ELEPQHOB]Ca@[gCAc@DiA?y@Ga@So@Q_AEm@@q@Fe@h@cBb@w@PSPK~@S^Ml@]n@k@b@m@~CsFRUh@Wf@k@^UPGb@EZ@PBPJLPHTBZ?h@GlBD`ABrCDb@?d@C|AKpAJdFCVYv@ERB`@Z~@Fb@GlDFbEKjDDpAGrA@THb@?JCVQ^SZQHOBc@AOKMWGUIME?E@M^MNYHg@FcKD{@AaAQUAq@N_@By@Cq@Di@AmAMGAOKMQ{@yBOm@KgAWqA?YHc@HSl@{@^y@LOHCh@GNGl@u@TQPCPDf@Xf@NZDh@Bh@CVGTMJMH[@a@Em@S}AEc@DqB?e@Io@[mAK{@@s@Ho@Vw@b@_A^k@XQl@Mp@Sd@Yd@a@^c@z@_Bd@o@,2,,,,
